PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
1,95,1,0,1
1,86,2,0,1
1,147,3,0,1
10,77,1,0,2
10,77,2,0,2
10,70,3,0,2
20,99,1,0,3
20,92,2,0,3
20,98,3,0,3
50,93,1,0,3
50,113,2,0,4
50,103,3,0,4
100,107,1,0,4
100,166,2,0,4
100,129,3,0,4
1000,2740,1,8,4
1000,3614,2,2,12
1000,925,3,8,19
